Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog
  2007,01,01,144612   , 45.120,-120.933,2.5, 19,PDE  
  2007,01,02,014816.29, 35.938,-120.489,3.1, 10,PDE  
  2007,01,02,143847.62, 40.485,-124.760,2.9, 23,PDE  
  2007,01,03,090831.60, 41.733, -80.179,2.5,  5,PDE  
  2007,01,03,143438.54, 37.067,-104.895,4.4,  5,PDE  
  2007,01,03,230545   , 35.920, -83.960,2.6, 14,PDE  
  2007,01,04,083011.26, 45.123,-120.937,3.0, 18,PDE  
  2007,01,04,235149.61, 38.834,-122.796,3.2,  3,PDE  
  2007,01,06,040844.97, 47.025, -76.234,3.3, 18,PDE  
  2007,01,06,070401.18, 37.759,-122.157,2.4,  3,PDE  
  2007,01,06,223316.04, 27.778,-111.193,3.7, 10,PDE  
  2007,01,07,002712.16, 39.934,-116.678,3.0,  5,PDE  
  2007,01,07,092038.77, 38.388,-122.615,3.1,  9,PDE  
  2007,01,07,150047.44, 32.657,-115.627,3.2, 14,PDE  
  2007,01,08,030534.72, 33.624,-116.757,2.8, 19,PDE  
  2007,01,08,214602.91, 34.536, -96.429,2.5,  5,PDE  
  2007,01,09,101040.12, 43.666,-108.106,3.5,  5,PDE  
  2007,01,09,140155.63, 32.682,-116.048,3.1,  9,PDE  
  2007,01,09,223342.85, 36.921,-121.425,3.1,  8,PDE  
  2007,01,09,223345.25, 35.941,-120.492,2.9, 10,PDE  
  2007,01,10,032558.88, 36.463,-121.041,2.8,  7,PDE  
  2007,01,10,045355.30, 46.197,-122.189,3.1,  0,PDE  
  2007,01,10,161527.77, 37.480,-118.842,3.0,  3,PDE  
  2007,01,11,042202.32, 34.041,-117.540,2.9,  9,PDE  
  2007,01,12,112750.29, 38.390,-122.615,3.6,  9,PDE  
  2007,01,12,151331.70, 37.640,-115.128,2.7,  0,PDE  
  2007,01,13,162556.07, 40.520,-123.077,2.9, 33,PDE  
  2007,01,13,235735   , 32.985,-115.578,2.9, 12,PDE  
  2007,01,14,014424   , 38.990,-111.340,2.7,  1,PDE  
  2007,01,14,051736.69, 36.878,-104.930,3.2,  5,PDE  
  2007,01,14,072113.79, 46.199,-122.189,3.0,  0,PDE  
  2007,01,15,070003.15, 33.706,-116.045,3.0, 13,PDE  
  2007,01,15,131241   , 44.790,-111.030,2.5,  1,PDE  
  2007,01,15,182216.65, 38.774,-122.700,3.1,  3,PDE  
  2007,01,16,151739.20, 39.354,-118.102,2.8, 10,PDE  
  2007,01,17,140108.04, 37.407,-118.531,3.6,  7,PDE  
  2007,01,17,160747.80, 32.982,-116.316,3.7,  4,PDE  
  2007,01,17,163729.21, 35.077,-118.306,2.9,  2,PDE  
  2007,01,17,174322.25, 37.120,-121.522,3.4,  7,PDE  
  2007,01,17,174441.05, 32.985,-116.316,2.9,  4,PDE  
  2007,01,17,223644.01, 32.985,-116.315,2.9,  5,PDE  
  2007,01,18,062106.42, 30.493,-114.086,4.8, 10,PDE  
  2007,01,18,090459   , 37.070,-112.430,2.5, 16,PDE  
  2007,01,18,155947.18, 38.777,-119.615,3.3,  9,PDE  
  2007,01,18,200420.30, 32.984,-116.307,3.1,  4,PDE  
  2007,01,19,191708.40, 32.983,-116.320,3.2,  5,PDE  
  2007,01,20,081241.16, 45.122,-120.945,3.0, 15,PDE  
  2007,01,20,172000.87, 42.637, -78.796,2.6,  8,PDE  
  2007,01,21,232157.84, 34.248,-118.950,2.7,  3,PDE  
  2007,01,22,052742   , 46.120,-111.580,2.9,  8,PDE  
  2007,01,22,084628.36, 37.622,-119.421,2.9, 12,PDE  
  2007,01,22,085717.60, 37.620,-119.424,3.0, 14,PDE  
  2007,01,23,065219.48, 44.362,-110.790,2.8,  1,PDE  
  2007,01,23,134909.81, 46.199,-122.192,2.8,  0,PDE  
  2007,01,23,214629.56, 40.376,-124.507,2.9, 23,PDE  
  2007,01,24,113016   , 37.413,-117.099,4.1,  6,PDE  
  2007,01,24,120553.72, 37.420,-117.089,3.2,  5,PDE  
  2007,01,24,121409.27, 37.419,-117.095,3.0,  6,PDE  
  2007,01,24,125250.05, 37.428,-117.082,2.9,  5,PDE  
  2007,01,24,133202.60, 37.418,-117.082,2.8,  5,PDE  
  2007,01,24,134252.74, 40.312,-124.585,4.4, 19,PDE  
  2007,01,24,134805.84, 40.308,-124.568,2.9, 20,PDE  
  2007,01,26,085811.14, 46.109, -75.144,2.6, 18,PDE  
  2007,01,26,092349   , 47.797,-123.032,3.2, 46,PDE  
  2007,01,29,070440.16, 40.450,-125.273,3.3,  1,PDE  
  2007,01,29,103952.30, 32.076,-115.087,2.9,  9,PDE  
  2007,01,29,120241.85, 26.821,-114.231,4.1, 10,PDE  
  2007,01,29,125202.48, 26.945,-114.196,4.0, 10,PDE  
  2007,01,29,211053.26, 34.234,-118.375,2.7,  6,PDE  
  2007,01,30,024752.36, 45.565, -74.564,2.9, 18,PDE  
  2007,01,30,144922   , 44.592,-110.615,2.8,  5,PDE  
  2007,01,30,161252   , 32.436,-115.017,4.1,  7,PDE  
  2007,01,30,165551.43, 40.306,-124.568,2.9, 19,PDE  
  2007,01,30,212029.39, 33.664, -87.107,2.6,  1,PDE  
  2007,01,30,235624.40, 34.214,-117.508,3.3,  6,PDE  
  2007,01,31,121452.27, 40.121,-123.045,3.3, 42,PDE  
  2007,01,31,154621.51, 35.075,-118.307,2.8,  3,PDE  
  2007,01,31,215454.94, 46.961,-120.382,2.7,  3,PDE  
  2007,01,31,234743   , 36.910, -89.010,2.9, 16,PDE  
  2007,02,01,164845.58, 44.270, -69.868,2.1,  8,PDE  
  2007,02,01,234521.69, 46.196,-122.191,3.4,  0,PDE  
  2007,02,02,104841.57, 38.814,-122.787,2.6,  4,PDE  
